user_id,question_id,correctness,time
user1,q1,TRUE,2719
user1,q2,FALSE,22079
user1,q3,TRUE,2799
user1,q4,TRUE,1581
user1,q5,TRUE,249441
user1,q6,TRUE,2109
user1,q7,TRUE,48308
user2,q1,TRUE,100434
user2,q2,FALSE,66288
user2,q3,TRUE,66061
user2,q4,TRUE,121295
user2,q5,TRUE,252077
user2,q6,TRUE,200874
user2,q7,TRUE,117186
user3,q1,TRUE,23018
user3,q2,TRUE,172015
user3,q3,TRUE,192858
user3,q4,TRUE,195710
user3,q5,TRUE,72343
user3,q6,TRUE,44312
user3,q7,TRUE,168622
user4,q1,TRUE,11860
user4,q2,TRUE,65737
user4,q3,TRUE,88414
user4,q4,TRUE,153699
user4,q5,TRUE,232981
user4,q6,TRUE,112939
user4,q7,FALSE,43864
user5,q1,TRUE,12567
user5,q2,TRUE,99001
user5,q3,TRUE,143744
user5,q4,TRUE,142602
user5,q5,TRUE,142813
user5,q6,TRUE,140697
user5,q7,TRUE,139967
user6,q1,TRUE,26103
user6,q2,TRUE,78685
user6,q3,TRUE,17661
user6,q4,TRUE,14185
user6,q5,TRUE,27588
user6,q6,TRUE,63528
user6,q7,TRUE,32046
user7,q1,TRUE,26982
user7,q2,TRUE,115595
user7,q3,TRUE,17319
user7,q4,TRUE,14669
user7,q5,TRUE,27004
user7,q6,TRUE,78842
user7,q7,TRUE,44759
user8,q1,TRUE,55088
user8,q2,TRUE,67805
user8,q3,TRUE,32569
user8,q4,TRUE,88200
user8,q5,TRUE,77256
user8,q6,TRUE,111199
user8,q7,TRUE,99480
user9,q1,TRUE,11199
user9,q2,TRUE,77254
user9,q3,TRUE,56606
user9,q4,TRUE,453436
user9,q5,TRUE,77306
user9,q6,TRUE,600266
user9,q7,TRUE,123657
user10,q1,TRUE,25328
user10,q2,TRUE,199375
user10,q3,TRUE,62291
user10,q4,FALSE,19908
user10,q5,TRUE,249096
user10,q6,TRUE,77929
user10,q7,TRUE,423929
user11,q1,TRUE,9668
user11,q2,TRUE,200792
user11,q3,TRUE,8742
user11,q4,TRUE,78173
user11,q5,TRUE,125430
user11,q6,TRUE,555736
user11,q7,TRUE,20613
user12,q1,TRUE,35698
user12,q2,TRUE,27223
user12,q3,TRUE,7821
user12,q4,TRUE,645240
user12,q5,TRUE,37676
user12,q6,TRUE,647064
user12,q7,TRUE,1476
user13,q1,TRUE,54173
user13,q2,FALSE,65837
user13,q3,TRUE,55022
user13,q4,TRUE,20847
user13,q5,TRUE,89320
user13,q6,TRUE,200825
user13,q7,TRUE,110005
user14,q1,TRUE,137808
user14,q2,TRUE,100390
user14,q3,TRUE,23364
user14,q4,TRUE,131795
user14,q5,TRUE,127022
user14,q6,TRUE,65532
user14,q7,TRUE,60305
user15,q1,TRUE,28667
user15,q2,TRUE,200673
user15,q3,TRUE,48876
user15,q4,TRUE,107960
user15,q5,TRUE,195290
user15,q6,TRUE,73216
user15,q7,TRUE,95041
user16,q1,TRUE,9792
user16,q2,TRUE,65209
user16,q3,TRUE,31101
user16,q4,TRUE,69628
user16,q5,TRUE,101564
user16,q6,TRUE,32309
user16,q7,FALSE,110325
user17,q1,TRUE,8026
user17,q2,TRUE,444493
user17,q3,TRUE,47493
user17,q4,TRUE,579416
user17,q5,TRUE,388679
user17,q6,TRUE,728821
user17,q7,TRUE,50957
user18,q1,TRUE,12613
user18,q2,TRUE,44334
user18,q3,TRUE,45939
user18,q4,TRUE,40283
user18,q5,TRUE,44447
user18,q6,TRUE,106920
user18,q7,TRUE,94863
user19,q1,TRUE,65203
user19,q2,TRUE,199234
user19,q3,TRUE,30865
user19,q4,TRUE,213858
user19,q5,TRUE,311253
user19,q6,FALSE,350373
user19,q7,TRUE,123566
user20,q1,TRUE,100872
user20,q2,TRUE,100876
user20,q3,TRUE,35633
user20,q4,TRUE,150410
user20,q5,FALSE,211929
user20,q6,TRUE,311271
user20,q7,TRUE,153602
